epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9363,0.91624,2.38427,1.34267,0.00467,1,0.62193,0.35814,0.9723,2.92561,1.52878,0.000533333,0.000533333,0.000533333
2,21.045,1.08387,1.60275,1.30785,0.33776,0.35714,0.27304,0.10796,1.39588,2.86943,2.04396,0.00117624,0.00117624,0.00117624
3,29.2579,1.29137,2.01233,1.57455,0.29497,0.57143,0.29385,0.13239,1.36548,2.83989,2.38705,0.00179275,0.00179275,0.00179275
4,37.0134,1.1641,1.76888,1.3984,0.18536,0.39286,0.18873,0.08284,1.6892,5.06681,2.79055,0.0018812,0.0018812,0.0018812
5,44.6964,1.17905,1.75508,1.45204,0.13102,0.60714,0.17069,0.08952,1.9104,14.9475,4.24756,0.0018416,0.0018416,0.0018416
6,52.7619,1.1275,1.5981,1.42041,0.1184,0.25,0.07562,0.01509,2.70635,16.47,6.9715,0.001802,0.001802,0.001802
7,60.562,1.11461,1.56302,1.4479,0.20397,0.35714,0.15225,0.0507,2.31205,12.5483,4.74607,0.0017624,0.0017624,0.0017624
8,68.0785,1.15177,1.47638,1.42002,0.1688,0.42857,0.15402,0.0545,1.86507,5.69686,3.21503,0.0017228,0.0017228,0.0017228
9,75.7281,1.10041,1.51357,1.42397,0.48587,0.57143,0.46544,0.22654,1.58853,5.69601,2.81456,0.0016832,0.0016832,0.0016832
10,83.4454,1.05522,1.47108,1.37849,0.39708,0.60714,0.45608,0.22486,1.59541,3.76617,3.37616,0.0016436,0.0016436,0.0016436
11,90.9112,1.01413,1.31515,1.30729,0.14814,0.28571,0.11077,0.05066,1.55881,4.5933,2.97998,0.001604,0.001604,0.001604
12,98.4783,1.07714,1.36462,1.36426,0.14692,0.51057,0.12745,0.05577,1.60177,4.28514,2.82042,0.0015644,0.0015644,0.0015644
13,106.015,1.05752,1.3085,1.35351,0.15336,0.21429,0.06728,0.02364,1.94969,4.17133,2.65638,0.0015248,0.0015248,0.0015248
14,113.333,1.0892,1.38354,1.43653,0.07533,0.21429,0.04629,0.02184,1.89579,4.7049,2.47169,0.0014852,0.0014852,0.0014852
15,120.995,1.05283,1.29784,1.33389,0.07876,0.14286,0.04348,0.01846,1.84755,5.12958,2.45079,0.0014456,0.0014456,0.0014456
16,129.354,1.01701,1.22232,1.34361,0.01899,0.35714,0.01636,0.00675,1.89072,10.6058,2.48716,0.001406,0.001406,0.001406
17,137.306,1.01363,1.26857,1.32577,0.5209,0.53571,0.48901,0.2212,1.53886,3.02654,2.11028,0.0013664,0.0013664,0.0013664
18,144.306,0.952,1.15448,1.30009,0.50917,0.59304,0.47585,0.23462,1.59434,2.76312,2.19751,0.0013268,0.0013268,0.0013268
19,153.05,1.01997,1.21921,1.35306,0.406,0.60714,0.49302,0.24425,1.51376,2.80077,2.21426,0.0012872,0.0012872,0.0012872
20,163.076,0.95373,1.13806,1.24846,0.43619,0.53571,0.50793,0.26844,1.61627,2.82,2.27483,0.0012476,0.0012476,0.0012476
21,170.635,0.97931,1.11914,1.27255,0.36515,0.82143,0.50503,0.27982,1.43595,2.54271,2.11507,0.001208,0.001208,0.001208
22,178.434,1.00099,1.12441,1.30289,0.48867,0.64286,0.50999,0.274,1.35949,2.55057,1.96283,0.0011684,0.0011684,0.0011684
23,186.261,1.02599,1.23847,1.36918,0.42936,0.67857,0.5312,0.31745,1.35632,2.40817,1.95424,0.0011288,0.0011288,0.0011288
24,193.961,0.93755,1.10856,1.26202,0.76575,0.46712,0.61488,0.37715,1.33809,2.43022,1.90434,0.0010892,0.0010892,0.0010892
25,201.364,0.90128,1.09815,1.239,0.54767,0.75,0.70574,0.43268,1.2896,2.11919,1.95936,0.0010496,0.0010496,0.0010496
26,208.878,0.9122,1.10425,1.25667,0.61148,0.75,0.68203,0.42633,1.30301,2.02678,2.06133,0.00101,0.00101,0.00101
27,216.394,0.85567,1.03461,1.24628,0.53772,0.78571,0.65144,0.41929,1.26746,1.93762,1.97025,0.0009704,0.0009704,0.0009704
28,224.11,0.867,0.9999,1.21063,0.5245,0.82143,0.6337,0.40105,1.24483,1.91287,1.91662,0.0009308,0.0009308,0.0009308
29,231.477,0.84914,0.98234,1.20301,0.5611,0.78571,0.6375,0.38449,1.29123,1.83659,2.00083,0.0008912,0.0008912,0.0008912
30,239.377,0.90684,1.0406,1.3039,0.71967,0.67857,0.66115,0.38212,1.28052,1.75789,1.9776,0.0008516,0.0008516,0.0008516
31,246.928,0.92362,1.04532,1.27592,0.64753,0.7874,0.6663,0.3926,1.26497,1.74268,1.94351,0.000812,0.000812,0.000812
32,255.267,0.78881,0.94476,1.13788,0.68122,0.71429,0.68612,0.42176,1.2096,1.7368,1.8535,0.0007724,0.0007724,0.0007724
